,periods_fast,periods_slow,end_value,return_ave,max_draw_downs,win_trades,loss_trades,total_trades,win_ratio,ave_win_value,ave_loss_value,ave_win_loss_ratio,return_rank,max_draw_downs_rank,win_ratio_rank,ave_win_loss_ratio_rank,rank
376,7,36,10328,0.00039852070716034956,27.7118411398043,14,29,43,0.32558139534883723,409.5115194151675,-186.36956457969026,-2.1973089884001067,248.0,215.0,231.0,203.0,224.25
355,8,28,11438,0.001460706017084687,18.761883559285007,16,29,45,0.35555555555555557,398.0654023746203,-170.0246849223198,-2.34122123241391,394.0,58.0,321.0,126.0,224.75
317,9,37,9545,-0.00042143815820932975,33.59889619966022,12,27,39,0.3076923076923077,460.9501461724465,-221.71967654351448,-2.078977172249216,142.0,348.0,154.0,257.0,225.25
437,5,33,9905,-8.306174030134585e-06,30.158859060323955,15,32,47,0.3191489361702128,372.87084010155286,-177.77974557318552,-2.0973752600408315,194.0,269.0,196.0,243.0,225.5
280,10,45,9261,-0.000798071397075815,34.110738382695104,10,23,33,0.30303030303030304,492.18111043384033,-246.12867035675762,-1.9996902828119762,111.0,365.0,135.0,292.0,225.75
244,12,23,12846,0.0027225475630882983,15.014685872892679,19,29,48,0.3958333333333333,354.7075188312691,-134.24469448469048,-2.642246087957842,442.0,5.0,416.0,41.0,226.0
121,16,30,10380,0.00039910733461951883,25.333316283901233,13,26,39,0.3333333333333333,430.3053384478803,-200.52130913230664,-2.1459332193166514,249.0,168.0,266.0,221.0,226.0
335,8,48,10370,0.0004797667069633618,29.29059644371773,10,21,31,0.3225806451612903,557.4321818459367,-247.8208038934243,-2.249335701798713,261.0,254.0,211.0,180.0,226.5
306,9,48,9697,-0.0002984629180004722,32.92655418643517,10,22,32,0.3125,535.3051242125377,-257.11816771167275,-2.081942046245516,159.0,329.0,171.0,253.0,228.0
74,17,48,10645,0.0006333121784337019,27.0996338777679,9,18,27,0.3333333333333333,549.8293283354308,-239.04078626339594,-2.3001485935943204,294.0,201.0,266.0,153.0,228.5
79,17,43,9422,-0.0006949972451597711,28.757541679310975,10,21,31,0.3225806451612903,433.54350357010696,-234.01481787129424,-1.852632698706077,115.0,241.0,211.0,347.0,228.5
3,20,32,8104,-0.0023625660878575793,38.350524633259326,12,29,41,0.2926829268292683,391.78508269830644,-227.52857198304145,-1.72191597426062,4.0,439.0,88.0,384.0,228.75
175,14,34,11038,0.000977123458890032,21.895096351713224,13,24,37,0.35135135135135137,419.00330218122565,-183.69956785732464,-2.2809161015917914,344.0,104.0,308.0,160.0,229.0
262,11,34,10570,0.000640027848894135,25.477127033846166,13,26,39,0.3333333333333333,432.7692602612246,-194.42847999092118,-2.225853230357161,297.0,169.0,266.0,189.0,230.25
145,15,35,10033,2.9408724263838895e-05,29.350068030291173,12,25,37,0.32432432432432434,437.6148864536051,-208.72352290770405,-2.096624665764745,202.0,255.0,223.0,244.0,231.0
359,8,24,12422,0.0020736197011084266,17.326437681101947,19,31,50,0.38,388.175071100354,-159.75471012915025,-2.429819257200881,424.0,30.0,380.0,91.0,231.25
293,10,32,10679,0.0007994423053538119,25.68746874593402,14,28,42,0.3333333333333333,409.8620767289394,-180.65961428244165,-2.268697840172318,317.0,175.0,266.0,168.0,231.5
215,13,23,11921,0.001910680374137208,16.745255892534843,20,34,54,0.37037037037037035,352.1705152491265,-150.63593716359813,-2.3378917533247843,419.0,22.0,355.0,130.0,231.5
334,8,49,10021,0.00010784612636856622,30.07199565781429,10,21,31,0.3225806451612903,538.1581829067014,-255.25357163057245,-2.1083277286539825,212.0,267.0,211.0,237.0,231.75
207,13,31,11163,0.001099899728499316,25.235376959690527,13,25,38,0.34210526315789475,475.03745729473246,-200.47380594922444,-2.3695736959024405,365.0,165.0,285.0,113.0,232.0
418,6,23,10393,0.0001419974572801441,21.444089921919343,19,35,54,0.35185185185185186,320.72649472398996,-162.85494796966208,-1.969399755564918,218.0,96.0,310.0,305.0,232.25
283,10,42,9376,-0.0006645479786615972,36.18723097608699,10,23,33,0.30303030303030304,546.804440253891,-264.9012774030909,-2.064181968521949,117.0,414.0,135.0,263.0,232.25
234,12,33,10995,0.001068375452488032,24.03420122556032,13,25,38,0.34210526315789475,452.28258958589475,-195.3568169101917,-2.315161542552239,359.0,143.0,285.0,143.0,232.5
265,11,31,10895,0.0009688618310688313,24.244223789976324,13,25,38,0.34210526315789475,432.88519157452083,-189.27854927167405,-2.2870272053553986,343.0,145.0,285.0,157.0,232.5
147,15,33,10914,0.0009441220968182442,21.464989208045168,13,24,37,0.35135135135135137,419.8831751232119,-189.3461641558856,-2.2175425469804027,335.0,97.0,308.0,195.0,233.75
435,5,35,9078,-0.0009558584977847767,32.80791901291881,15,33,48,0.3125,336.6106443836521,-180.96591418299977,-1.86007760579298,96.0,325.0,171.0,343.0,233.75
129,16,22,12224,0.001994024480921394,16.275391603578296,23,39,62,0.3709677419354839,358.726111105315,-154.51828560665783,-2.3215770851774087,422.0,18.0,356.0,140.0,234.0
119,16,32,10413,0.00043402311486276623,24.525831433533874,13,25,38,0.34210526315789475,404.8581937841557,-193.97372144776133,-2.0871806281923977,254.0,149.0,285.0,248.0,234.0
188,14,21,12440,0.0023737280235080318,14.388649849268718,24,39,63,0.38095238095238093,330.19228785143514,-140.6148885442319,-2.3482028913856423,433.0,1.0,384.0,123.0,235.25
178,14,31,10702,0.0006408976830755564,24.978559633891816,13,25,38,0.34210526315789475,430.0575683524885,-195.54847944045105,-2.1992375986919948,298.0,158.0,285.0,200.0,235.25
419,6,22,10481,0.00023325669930154768,22.16870263771026,19,35,54,0.35185185185185186,319.85907383716994,-159.88026739463706,-2.000616330267028,233.0,109.0,310.0,291.0,235.75
120,16,31,10634,0.0006622483345086671,24.325446327375385,13,25,38,0.34210526315789475,423.43710124236634,-194.79604902416938,-2.1737458401419025,300.0,147.0,285.0,211.0,235.75
373,7,39,10082,0.0001364736699088064,29.73016380144372,13,27,40,0.325,438.9520554853248,-208.29469631286045,-2.1073606925930317,217.0,259.0,229.0,239.0,236.0
330,9,24,12347,0.002007639927817424,15.580974170306886,19,30,49,0.3877551020408163,368.41586269499936,-155.07171870313556,-2.375777258265146,423.0,13.0,403.0,111.0,237.5
0,20,35,8710,-0.0015778832366508723,32.71928397468122,13,28,41,0.3170731707317073,366.2913070407378,-216.1461996404305,-1.694646066644155,47.0,322.0,189.0,392.0,237.5
404,6,37,10365,0.0004868140426584213,26.92779765319101,15,30,45,0.3333333333333333,400.6412505728652,-188.13108175827227,-2.1295856422472768,263.0,195.0,266.0,227.0,237.75
106,16,45,9805,-0.0002609461684090267,27.009030590509877,10,20,30,0.3333333333333333,425.3925786198348,-222.44892358276394,-1.9123157431758218,164.0,198.0,266.0,326.0,238.5
315,9,39,9204,-0.0008177234508838583,35.52176983532289,11,25,36,0.3055555555555556,487.32938315956636,-246.29513630373378,-1.9786398971297046,107.0,402.0,148.0,298.0,238.75
